timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1741721702488,382,Friend Request-1,302,Found,Thread Group 1-7,text,true,,1169,125,14,14,https://www.facebook.com/friends,382,0,96
1741721702871,417,Friend Request-2,302,Found,Thread Group 1-7,text,true,,4029,137,14,14,https://web.facebook.com/friends?_rdc=1&_rdr,417,0,75
1741721703288,434,Friend Request-3,200,OK,Thread Group 1-7,text,true,,67786,173,14,14,https://web.facebook.com/login.php?next=https%3A%2F%2Fweb.facebook.com%2Ffriends,407,0,0
1741721702330,1457,Friend Request,200,OK,Thread Group 1-8,text,true,,72958,556,15,15,https://web.facebook.com/login.php?next=https%3A%2F%2Fweb.facebook.com%2Ffriends,353,0,92
1741721702330,353,Friend Request-0,301,Moved Permanently,Thread Group 1-8,text,true,,505,121,15,15,https://facebook.com/friends,353,0,92
1741721702684,346,Friend Request-1,302,Found,Thread Group 1-8,text,true,,908,125,15,15,https://www.facebook.com/friends,346,0,69
1741721703030,374,Friend Request-2,302,Found,Thread Group 1-8,text,true,,4029,137,15,15,https://web.facebook.com/friends?_rdc=1&_rdr,374,0,76
1741721703404,383,Friend Request-3,200,OK,Thread Group 1-8,text,true,,67516,173,15,15,https://web.facebook.com/login.php?next=https%3A%2F%2Fweb.facebook.com%2Ffriends,359,0,0
1741721702844,1080,Facebook Groups,200,OK,Thread Group 1-3,text,true,,82711,398,15,15,https://web.facebook.com/groups/feed/?_rdc=1&_rdr,271,0,0
1741721702844,271,Facebook Groups-0,301,Moved Permanently,Thread Group 1-3,text,true,,510,126,15,15,https://facebook.com/groups/feed/,271,0,0
1741721703115,263,Facebook Groups-1,302,Found,Thread Group 1-3,text,true,,889,130,15,15,https://www.facebook.com/groups/feed/,263,0,0
1741721703378,546,Facebook Groups-2,200,OK,Thread Group 1-3,text,true,,81312,142,15,15,https://web.facebook.com/groups/feed/?_rdc=1&_rdr,479,0,0
1741721702536,1461,Friend Request,200,OK,Thread Group 1-9,text,true,,70929,556,16,16,https://web.facebook.com/login.php?next=https%3A%2F%2Fweb.facebook.com%2Ffriends,341,0,72
1741721702536,341,Friend Request-0,301,Moved Permanently,Thread Group 1-9,text,true,,505,121,16,16,https://facebook.com/friends,341,0,72
1741721702878,387,Friend Request-1,302,Found,Thread Group 1-9,text,true,,884,125,16,16,https://www.facebook.com/friends,387,0,67
1741721703265,365,Friend Request-2,302,Found,Thread Group 1-9,text,true,,2009,137,16,16,https://web.facebook.com/friends?_rdc=1&_rdr,365,0,77
1741721703630,367,Friend Request-3,200,OK,Thread Group 1-9,text,true,,67531,173,16,16,https://web.facebook.com/login.php?next=https%3A%2F%2Fweb.facebook.com%2Ffriends,348,0,0
1741721703086,1099,Facebook Groups,200,OK,Thread Group 1-4,text,true,,82691,398,17,17,https://web.facebook.com/groups/feed/?_rdc=1&_rdr,268,0,0
1741721703086,268,Facebook Groups-0,301,Moved Permanently,Thread Group 1-4,text,true,,510,126,17,17,https://facebook.com/groups/feed/,268,0,0
1741721703354,285,Facebook Groups-1,302,Found,Thread Group 1-4,text,true,,889,130,17,17,https://www.facebook.com/groups/feed/,285,0,0
1741721703639,546,Facebook Groups-2,200,OK,Thread Group 1-4,text,true,,81292,142,17,17,https://web.facebook.com/groups/feed/?_rdc=1&_rdr,521,0,0
1741721702736,1466,Friend Request,200,OK,Thread Group 1-10,text,true,,70986,556,17,17,https://web.facebook.com/login.php?next=https%3A%2F%2Fweb.facebook.com%2Ffriends,360,0,80
1741721702736,360,Friend Request-0,301,Moved Permanently,Thread Group 1-10,text,true,,505,121,17,17,https://facebook.com/friends,360,0,80
1741721703097,365,Friend Request-1,302,Found,Thread Group 1-10,text,true,,884,125,17,17,https://www.facebook.com/friends,365,0,81
1741721703462,337,Friend Request-2,302,Found,Thread Group 1-10,text,true,,2089,137,17,17,https://web.facebook.com/friends?_rdc=1&_rdr,337,0,76
1741721703799,403,Friend Request-3,200,OK,Thread Group 1-10,text,true,,67508,173,17,17,https://web.facebook.com/login.php?next=https%3A%2F%2Fweb.facebook.com%2Ffriends,386,0,0
1741721703269,1170,Facebook Groups,200,OK,Thread Group 1-5,text,true,,83009,398,18,18,https://web.facebook.com/groups/feed/?_rdc=1&_rdr,287,0,0
1741721703269,287,Facebook Groups-0,301,Moved Permanently,Thread Group 1-5,text,true,,510,126,18,18,https://facebook.com/groups/feed/,287,0,0
1741721703556,268,Facebook Groups-1,302,Found,Thread Group 1-5,text,true,,889,130,18,18,https://www.facebook.com/groups/feed/,268,0,0
1741721703824,615,Facebook Groups-2,200,OK,Thread Group 1-5,text,true,,81610,142,18,18,https://web.facebook.com/groups/feed/?_rdc=1&_rdr,575,0,0
1741721702936,1539,Friend Request,200,OK,Thread Group 1-11,text,true,,71004,556,18,18,https://web.facebook.com/login.php?next=https%3A%2F%2Fweb.facebook.com%2Ffriends,359,0,82
1741721702936,359,Friend Request-0,301,Moved Permanently,Thread Group 1-11,text,true,,505,121,18,18,https://facebook.com/friends,359,0,82
1741721703296,401,Friend Request-1,302,Found,Thread Group 1-11,text,true,,884,125,18,18,https://www.facebook.com/friends,401,0,89
1741721703698,349,Friend Request-2,302,Found,Thread Group 1-11,text,true,,2089,137,18,18,https://web.facebook.com/friends?_rdc=1&_rdr,349,0,82
1741721704047,428,Friend Request-3,200,OK,Thread Group 1-11,text,true,,67526,173,18,18,https://web.facebook.com/login.php?next=https%3A%2F%2Fweb.facebook.com%2Ffriends,408,0,0
1741721703674,938,Facebook Feed,200,OK,Thread Group 1-2,text,true,,69093,422,19,19,https://web.facebook.com/?filter=all&sk=h_chr&_rdc=1&_rdr,267,0,0
1741721703674,267,Facebook Feed-0,301,Moved Permanently,Thread Group 1-2,text,true,,518,134,19,19,https://facebook.com/?filter=all&sk=h_chr,267,0,0
1741721703941,261,Facebook Feed-1,302,Found,Thread Group 1-2,text,true,,884,138,19,19,https://www.facebook.com/?filter=all&sk=h_chr,261,0,0
1741721704202,410,Facebook Feed-2,200,OK,Thread Group 1-2,text,true,,67691,150,19,19,https://web.facebook.com/?filter=all&sk=h_chr&_rdc=1&_rdr,315,0,0
